"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","624","test_playwright_homepage_h1[firefox]","tests.external","Wed Feb 18 11:55:00 UTC 2026","passed","Wed Feb 18 11:55:01 UTC 2026","","test_playwright_title","",""
"","341","test_playwright_homepage_h1[chromium]","tests.external","Wed Feb 18 11:54:59 UTC 2026","passed","Wed Feb 18 11:54:59 UTC 2026","","test_playwright_title","",""
